input,probability,response__possible_conditions__001,response__possible_conditions__002,response__possible_conditions__003,response__possible_conditions__004,response__urgency,response__common_age_groups,response__immediate_actions,response__precautions,response__potential_treatments__001,response__potential_treatments__002,response__potential_treatments__003,response__potential_treatments__004,response__medications__001,response__medications__002,response__medications__003,response__medications__004,response__lifestyle_changes
I have a backache,0.354196192,Muscle strain,Herniated disc,Arthritis,Sciatica,Low to Moderate - Seek medical attention if severe or persistent pain,Adults,"Rest, apply ice or heat, gentle stretching","Avoid heavy lifting, maintain good posture",Physical examination,Imaging studies if severe,,,Acetaminophen,Ibuprofen,,,"Regular exercise, ergonomic workspace setup"
I have a sunburn,0.352155724,First-degree burn,Second-degree burn,,,Low to Moderate - Seek medical attention if blistering or severe pain,All ages,"Cool the skin with damp cloths, drink plenty of fluids, apply aloe vera or moisturizing lotion","Avoid further sun exposure, wear protective clothing",Physical examination if severe,Burn cream if needed,,,Aloe vera,Acetaminophen,Ibuprofen,,"Use sunscreen, avoid peak sun hours"
I twisted my knee,0.350115257,Knee sprain,"Ligament tear (ACL, MCL)",Meniscus injury,,Moderate - Seek medical attention if unable to bear weight or severe swelling,All ages,"Rest, ice the area, compress with a bandage, elevate the knee","Avoid putting weight on the knee, monitor for severe swelling or instability",Physical examination,MRI if severe,,,Acetaminophen,Ibuprofen,,,"Strengthen knee muscles, avoid high-impact activities initially"
I have a nosebleed,0.348074789,Dry air,Nose picking,Allergies,Nasal injury,Low - Seek medical attention if bleeding doesn't stop after 20 minutes,"Children, adults","Pinch the nostrils together and lean forward, apply ice pack to the nose bridge","Avoid blowing the nose forcefully, use a humidifier in dry environments",Physical examination if persistent,Nasal cauterization if recurrent,,,Nasal saline spray,Topical antibiotic ointment if needed,,,"Maintain nasal moisture, avoid nasal irritants"
I have an earache,0.346034321,Ear infection (otitis media),Swimmer's ear,Earwax buildup,,Low to Moderate - Seek medical attention if severe pain or hearing loss,"Children, adults","Apply warm compress to the ear, keep head elevated","Avoid inserting objects into the ear, keep the ear dry",Physical examination,Ear irrigation if wax buildup,,,Acetaminophen,Ibuprofen,Antibiotic ear drops if bacterial,,"Avoid water in the ear, maintain ear hygiene"
I stubbed my toe and it's very painful,0.343993853,Contusion,Fracture,Ligament sprain,,Low - Monitor and seek care if severe pain persists,All ages,"Apply ice pack, elevate foot",Avoid putting weight on affected toe,X-ray if severe,Physical examination,,,Over-the-counter pain relievers,,,,"Wear protective footwear, be cautious of obstacles"
I cut my finger while chopping vegetables,0.341953385,Laceration,Minor cut,Possible tendon injury,,Low to Moderate - Seek care if deep or won't stop bleeding,All ages,"Clean wound with soap and water, apply pressure to stop bleeding","Watch for signs of infection (redness, swelling, pus)",Wound closure (stitches) if deep,Tetanus shot if needed,,,Antibiotic ointment,Over-the-counter pain relievers,,,"Use proper cutting techniques, maintain sharp knives"
I twisted my ankle while walking,0.339912917,Ankle sprain,Ligament tear,Fracture,,Moderate - Seek care if unable to bear weight or severe pain,All ages,"RICE: Rest, Ice, Compression, Elevation",Avoid putting weight on the affected ankle,X-ray if severe,Physical examination,,,Over-the-counter pain relievers,Anti-inflammatory drugs,,,"Wear supportive shoes, be cautious on uneven surfaces"
I have a nosebleed that won't stop,0.337872449,Trauma,Dry air,High blood pressure,Blood thinners,Moderate - Seek care if bleeding persists over 30 minutes,All ages,"Sit upright, lean forward, pinch nostrils for 10-15 minutes","Don't lie down or tilt head back, avoid blowing nose",Cauterization if persistent,Blood pressure check,,,Nasal decongestant sprays,,,,"Use a humidifier, avoid nose picking"
I burned my hand on a hot pan,0.335831982,First-degree burn,Second-degree burn,,,Low to Moderate - Seek care if blistering or severe pain,All ages,Cool burn under cool running water for 10-20 minutes,"Don't use ice, don't pop blisters",Wound care,Dressing application,,,Over-the-counter pain relievers,Antibiotic ointment,,,"Use oven mitts, be cautious around hot objects"
I have a splinter in my foot,0.333791514,Foreign body,Minor puncture wound,,,Low - Seek care if unable to remove or signs of infection,All ages,"Clean area with soap and water, attempt removal with tweezers","Don't dig deeply into skin, ensure all splinter is removed",Professional removal if deep,Tetanus shot if needed,,,Antibiotic ointment,,,,Wear shoes in areas prone to splinters
I hit my head on a cabinet door,0.331751046,Contusion,Concussion,Laceration,,Moderate - Seek care if loss of consciousness or severe symptoms,All ages,"Apply cold compress, monitor for dizziness or confusion","Watch for signs of concussion (headache, nausea, confusion)",Neurological examination,CT scan if severe,,,Over-the-counter pain relievers (avoid aspirin),,,,"Be aware of surroundings, install soft close cabinets"
I have a paper cut on my finger,0.329710578,Minor cut,Skin irritation,,,Low - Home care usually sufficient,All ages,"Wash with soap and water, apply pressure to stop bleeding",Keep the cut clean and dry,Apply adhesive bandage,,,,Antibiotic ointment,,,,"Use letter openers, be cautious when handling paper"
I got soap in my eye,0.32767011,Chemical irritation,Corneal abrasion,,,Low to Moderate - Seek care if irritation persists,All ages,Flush eye with cool water for 15-20 minutes,"Don't rub the eye, remove contact lenses if present",Eye examination if persistent,,,,Lubricating eye drops,,,,"Use tear-free products, be careful when applying products near eyes"
I have a bee sting on my arm,0.325629642,Local allergic reaction,Anaphylaxis (rare),,,Low - High if allergic or multiple stings,All ages,"Remove stinger, apply cold compress",Watch for signs of severe allergic reaction,Antihistamines,Epinephrine if severe allergy,,,Over-the-counter antihistamines,Hydrocortisone cream,,,"Wear protective clothing outdoors, avoid fragrances that attract bees"
I have a minor sunburn on my shoulders,0.323589174,First-degree burn,UV damage,,,Low - Seek care if blistering or severe pain,All ages,"Cool skin with cool water or compress, moisturize skin","Stay out of sun, don't pop blisters",Cool baths,Moisturizing lotions,,,Aloe vera gel,Over-the-counter pain relievers,,,"Use sunscreen, wear protective clothing, limit sun exposure"
I bit my tongue and it's bleeding,0.321548707,Minor laceration,Contusion,,,Low - Seek care if bleeding doesn't stop or severe pain,All ages,"Rinse with salt water, apply pressure with clean cloth","Avoid hot or spicy foods, don't suck on the wound",Stitches if deep laceration,,,,Over-the-counter pain relievers,,,,"Chew food slowly, be cautious during physical activities"
I have a minor scrape on my knee from falling,0.319508239,Abrasion,Minor laceration,,,Low - Home care usually sufficient,All ages,"Clean wound with soap and water, apply antibiotic ointment","Watch for signs of infection (redness, swelling, pus)",Wound cleaning,Tetanus shot if needed,,,Antibiotic ointment,Over-the-counter pain relievers,,,"Wear protective gear during activities, be cautious on uneven surfaces"
I have a small wood splinter in my finger,0.317467771,Foreign body,Minor puncture wound,,,Low - Seek care if unable to remove or signs of infection,All ages,"Clean area, remove splinter with tweezers or needle","Ensure all splinter is removed, don't dig deeply",Professional removal if deep,,,,Antibiotic ointment,,,,"Wear gloves when handling wood, sand rough wooden surfaces"
I have a minor burn from touching a hot stove,0.315427303,First-degree burn,Superficial second-degree burn,,,Low to Moderate - Seek care if blistering or severe pain,All ages,Cool burn under cool running water for 10-20 minutes,"Don't use ice, don't pop blisters",Wound care,Dressing application,,,Aloe vera gel,Over-the-counter pain relievers,,,"Use oven mitts, be cautious around hot surfaces"
I have a small cut from shaving,0.313386835,Minor laceration,Skin irritation,,,Low - Home care usually sufficient,Adolescents and adults,"Apply pressure to stop bleeding, clean with soap and water","Avoid further irritation, use clean razor blades",Apply styptic pencil or alum block,,,,Aftershave balm,Antibiotic ointment,,,"Use sharp, clean razors, shave in direction of hair growth"
I have a minor bruise on my leg from bumping into furniture,0.311346367,Contusion,Hematoma,,,Low - Home care usually sufficient,All ages,Apply cold compress for first 24-48 hours,"Avoid heat for first 48 hours, elevate if possible","RICE: Rest, Ice, Compression, Elevation",,,,Over-the-counter pain relievers,,,,"Rearrange furniture for better flow, be aware of surroundings"
I have a small blister on my foot from new shoes,0.309305899,Friction blister,,,,Low - Home care usually sufficient,All ages,"Clean area, apply moleskin or blister pad","Don't pop the blister, wear comfortable shoes",Drain only if necessary and with sterile technique,,,,Antibiotic ointment if drained,,,,"Break in new shoes gradually, wear moisture-wicking socks"
I have a minor muscle strain from exercising,0.307265432,Muscle strain,Overexertion,,,Low - Seek care if severe pain or limited movement,Adolescents and adults,"RICE: Rest, Ice, Compression, Elevation","Avoid further strain, gradually return to activity",Physical therapy if persistent,,,,Over-the-counter pain relievers,Topical analgesics,,,"Proper warm-up and cool-down, gradual increase in exercise intensity"
I have a small insect bite on my arm,0.305224964,Local allergic reaction,Minor skin irritation,,,Low - Seek care if severe reaction or multiple bites,All ages,"Clean area, apply cold compress to reduce itching","Avoid scratching, watch for signs of infection",Oral antihistamines if itchy,,,,Hydrocortisone cream,Calamine lotion,,,"Use insect repellent, wear protective clothing outdoors"
I have a small foreign object in my eye,0.303184496,Corneal abrasion,Foreign body,,,Moderate - Seek care if unable to remove or persistent pain,All ages,"Flush eye with clean water, blink repeatedly","Don't rub the eye, avoid using tweezers",Professional removal if persistent,,,,Lubricating eye drops,,,,Wear protective eyewear in dusty environments
I have a minor headache,0.301144028,Tension headache,Dehydration,Eye strain,,Low - Seek care if severe or persistent,Adolescents and adults,"Rest in a quiet, dark room, stay hydrated",Monitor for worsening symptoms,Relaxation techniques,Massage temples,,,Over-the-counter pain relievers,,,,"Manage stress, ensure proper hydration and sleep"
I have a sore throat and mild fever,0.29910356,Common cold,Flu,Strep throat,,Low - Monitor symptoms,All ages,"Rest, stay hydrated, gargle with warm salt water",Avoid close contact with others,Throat lozenges,Warm tea with honey,,,Over-the-counter pain relievers,Throat sprays,,,"Get adequate sleep, eat nutritious foods"
I'm experiencing a runny nose and sneezing,0.297063092,Common cold,Allergies,Sinus infection,,Low - Self-care usually sufficient,All ages,"Rest, use tissues, stay hydrated",Wash hands frequently,Nasal saline rinse,Steam inhalation,,,Antihistamines,Decongestants,,,"Avoid allergens, use air purifiers"
I have a persistent dry cough,0.295022624,Viral bronchitis,Asthma,Post-nasal drip,,Low - Seek care if persists over 3 weeks,All ages,"Stay hydrated, use a humidifier",Avoid irritants like smoke,Honey,Warm herbal tea,,,Cough suppressants,Expectorants,,,"Quit smoking, improve air quality"
I'm feeling nauseous and have diarrhea,0.292982157,Gastroenteritis,Food poisoning,Stomach flu,,Moderate - Seek care if severe or persistent,All ages,"Stay hydrated, rest, eat bland foods","Wash hands frequently, avoid contaminated food/water",Oral rehydration solutions,Probiotics,,,Antidiarrheal medications,Antiemetics,,,"Practice food safety, improve hygiene"
I have body aches and fatigue,0.290941689,Flu,COVID-19,Chronic fatigue syndrome,,"Moderate - Monitor symptoms, consider testing",All ages,"Rest, stay hydrated, isolate if COVID-19 suspected",Avoid close contact with others,Warm baths,Light stretching,,,Over-the-counter pain relievers,,,,"Get adequate sleep, manage stress"
I have a rash and itchy skin,0.288901221,Chickenpox,Allergic reaction,Eczema,,Low - Seek care if widespread or severe,Children and young adults,"Avoid scratching, apply cool compress",Avoid sharing personal items,Oatmeal baths,Calamine lotion,,,Antihistamines,Topical corticosteroids,,,"Identify and avoid triggers, use gentle skincare"
"I have red, watery eyes",0.286860753,Viral conjunctivitis,Allergies,Dry eye syndrome,,Low - Seek care if vision affected,All ages,"Avoid touching eyes, use clean washcloth",Avoid sharing towels or makeup,Warm compresses,Artificial tears,,,Antihistamine eye drops,Lubricating eye drops,,,"Practice good hand hygiene, avoid allergens"
I have a headache and sensitivity to light,0.284820285,Migraine,Viral meningitis,Sinusitis,,Moderate - Seek care if severe or accompanied by stiff neck,Adolescents and adults,"Rest in a dark, quiet room",Monitor for worsening symptoms,Cold or warm compresses,Relaxation techniques,,,Over-the-counter pain relievers,Prescription migraine medications,,,"Identify and avoid triggers, manage stress"
I have swollen lymph nodes,0.282779817,Mononucleosis,Strep throat,Lymphadenitis,,Low - Seek care if persistent or accompanied by fever,All ages,"Rest, apply warm compress",Avoid close contact with others,Warm salt water gargles,Neck exercises,,,Over-the-counter pain relievers,,,,"Get adequate sleep, eat a balanced diet"
I have a fever and chills,0.280739349,Flu,COVID-19,Urinary tract infection,,Moderate - Seek care if high fever or persistent,All ages,"Rest, stay hydrated, use light clothing/blankets","Monitor temperature, isolate if COVID-19 suspected",Cool compresses,Lukewarm baths,,,"Fever reducers (acetaminophen, ibuprofen)",,,,Get vaccinated against flu and COVID-19
I have muscle pain and weakness,0.278698882,Viral myositis,Fibromyalgia,Chronic fatigue syndrome,,Low - Seek care if severe or persistent,Adults,"Rest, gentle stretching",Avoid overexertion,Warm baths,Massage,,,Over-the-counter pain relievers,Muscle relaxants,,,"Regular gentle exercise, stress management"
I have a loss of taste and smell,0.276658414,COVID-19,Common cold,Sinus infection,,Moderate - Consider COVID-19 testing,All ages,"Self-isolate, monitor other symptoms",Avoid close contact with others,Nasal saline rinse,Steam inhalation,,,Consult healthcare provider for guidance,,,,Practice COVID-19 prevention measures
I have blisters on my lips,0.274617946,Cold sores (Herpes simplex),Canker sores,Impetigo,,Low - Seek care if severe or frequent recurrence,All ages,Avoid touching or picking at sores,Avoid kissing or sharing utensils,Apply ice,Use lip balm with sunscreen,,,Over-the-counter antiviral creams,Oral antiviral medications,,,"Manage stress, protect lips from sun"
I have a stiff neck and headache,0.272577478,Viral meningitis,Cervical strain,Tension headache,,High - Seek immediate care if accompanied by fever,All ages,"Rest, avoid sudden movements",Monitor for worsening symptoms,Gentle neck stretches,Warm compress,,,Over-the-counter pain relievers,,,,"Improve posture, ergonomic workspace"
I have abdominal pain and bloating,0.27053701,Viral gastroenteritis,Irritable bowel syndrome,Food intolerance,,Low - Seek care if severe or persistent,All ages,"Rest, avoid heavy meals","Stay hydrated, monitor symptoms",Heating pad,Peppermint tea,,,Antacids,Anti-gas medications,,,"Identify food triggers, manage stress"
I have joint pain and stiffness,0.268496542,Viral arthritis,Rheumatoid arthritis,Osteoarthritis,,Low - Seek care if persistent or affecting daily activities,Adults and older adults,"Rest affected joints, apply ice or heat",Avoid overexertion,Gentle exercises,Joint support,,,Over-the-counter pain relievers,Topical analgesics,,,"Maintain healthy weight, low-impact exercise"
I have a sore throat and difficulty swallowing,0.266456074,Strep throat,Tonsillitis,Viral pharyngitis,,Moderate - Seek care if severe or persistent,All ages,"Gargle with warm salt water, rest voice",Avoid irritants like smoke,Throat lozenges,Warm tea with honey,,,Over-the-counter pain relievers,Throat sprays,,,"Quit smoking, stay hydrated"
I have shortness of breath and coughing,0.264415607,Bronchitis,Asthma,COVID-19,,Moderate to High - Seek care if severe or persistent,All ages,"Rest, use pursed-lip breathing",Monitor oxygen levels if possible,Steam inhalation,Postural drainage,,,Inhaled bronchodilators,Cough suppressants,,,"Avoid irritants, practice deep breathing exercises"
I have a rash on my hands and feet,0.262375139,"Hand, foot, and mouth disease",Eczema,Allergic reaction,,Low - Seek care if widespread or severe,Children and young adults,"Avoid scratching, keep affected areas clean",Avoid close contact with others,Cool compresses,Calamine lotion,,,Antihistamines,Topical corticosteroids,,,"Practice good hygiene, avoid sharing personal items"
I have a persistent low-grade fever,0.260334671,Viral infection,Chronic fatigue syndrome,Thyroiditis,,Moderate - Seek care if persists over a week,All ages,"Rest, stay hydrated",Monitor temperature regularly,Cool compresses,Lukewarm baths,,,Over-the-counter fever reducers,,,,"Get adequate sleep, eat a balanced diet"
"I have itchy, red bumps on my skin",0.258294203,Hives,Insect bites,Viral rash,,Low - Seek care if widespread or severe,All ages,"Avoid scratching, apply cool compress",Monitor for signs of allergic reaction,Oatmeal baths,Aloe vera gel,,,Antihistamines,Hydrocortisone cream,,,"Identify and avoid triggers, use gentle skincare"
I have a hoarse voice and cough,0.256253735,Laryngitis,Viral throat infection,Allergies,,Low - Seek care if persists over 2 weeks,All ages,"Rest voice, stay hydrated",Avoid irritants like smoke,Steam inhalation,Honey and lemon tea,,,Throat lozenges,Cough suppressants,,,"Avoid shouting, practice good vocal hygiene"
I have swollen and painful gums,0.254213267,Gingivitis,Viral stomatitis,Dental abscess,,Low - Seek dental care if severe or persistent,All ages,"Gentle brushing, warm salt water rinses",Avoid irritating foods and drinks,Clove oil application,Hydrogen peroxide rinse,,,Over-the-counter pain relievers,Topical analgesics,,,"Improve oral hygiene, quit smoking"
I have a stuffy nose and facial pressure,0.252172799,Sinus infection,Common cold,Allergies,,Low - Seek care if persists over 10 days,All ages,"Use a humidifier, stay hydrated",Avoid sudden head movements,Nasal saline rinse,Steam inhalation,,,Decongestants,Nasal corticosteroids,,,"Use air purifiers, avoid allergens"
"I have red, itchy eyes with discharge",0.250132332,Viral conjunctivitis,Allergic conjunctivitis,Bacterial conjunctivitis,,Low - Seek care if vision affected,All ages,"Clean eyes gently, avoid touching eyes",Avoid sharing towels or makeup,Warm compresses,Artificial tears,,,Antihistamine eye drops,Antibiotic eye drops if bacterial,,,"Practice good hand hygiene, avoid allergens"
I have dizziness and vertigo,0.248091864,Viral labyrinthitis,Benign paroxysmal positional vertigo,Migraine,,Moderate - Seek care if severe or persistent,Adults and older adults,"Sit or lie down, avoid sudden movements",Use assistance when walking,Epley maneuver,Vestibular rehabilitation,,,Antihistamines,Anti-nausea medications,,,"Reduce stress, avoid triggers"
I have ear pain and muffled hearing,0.246051396,Ear infection,Eustachian tube dysfunction,Earwax blockage,,Moderate - Seek care if severe or persistent,"All ages, common in children","Apply warm compress, avoid getting ears wet",Don't insert objects into ear,Ear irrigation,Yawning or chewing to equalize pressure,,,Over-the-counter pain relievers,Eardrops,,,"Avoid loud noises, practice good ear hygiene"
"I have a painful, red eye",0.244010928,Uveitis,Corneal abrasion,Acute glaucoma,,High - Seek immediate care,All ages,"Avoid rubbing eye, use eye shield if available",Do not apply pressure to eye,Cool compress,Artificial tears,,,Prescribed by eye doctor only,,,,"Wear protective eyewear, practice good eye hygiene"
I have mouth sores and difficulty eating,0.24197046,Canker sores,"Hand, foot, and mouth disease",Oral thrush,,Low - Seek care if severe or persistent,All ages,"Rinse with salt water, avoid spicy or acidic foods",Maintain good oral hygiene,Topical numbing gels,Coconut oil pulling,,,Over-the-counter pain relievers,Antifungal medications if thrush,,,"Reduce stress, improve nutrition"
I have persistent hiccups,0.239929992,Gastroesophageal reflux,Vagus nerve irritation,Diaphragm spasm,,Low - Seek care if persists over 48 hours,All ages,"Hold breath, drink water quickly",Monitor for associated symptoms,Breathing into paper bag,Swallowing granulated sugar,,,Antacids if related to reflux,,,,"Eat smaller meals, avoid carbonated beverages"
"I have a swollen, tender lymph node",0.237889524,Viral infection,Bacterial infection,Mononucleosis,,Low - Seek care if persists over 2 weeks,All ages,"Rest, apply warm compress",Monitor for fever or other symptoms,Gentle massage,Adequate hydration,,,Over-the-counter pain relievers,,,,"Get adequate sleep, eat a balanced diet"
I have night sweats and fatigue,0.235849057,Viral infection,Hormonal imbalance,Lymphoma,,Moderate - Seek care if persistent,Adults,"Use breathable bedding, stay hydrated",Monitor for weight loss or other symptoms,Cool bedroom environment,Relaxation techniques,,,Consult healthcare provider for guidance,,,,"Regular exercise, stress management"
I have unexplained bruising,0.233808589,Vitamin deficiency,Blood disorder,Side effect of medications,,Moderate - Seek care if widespread or frequent,All ages,Apply cold compress to bruises,Avoid activities that may cause injury,Arnica cream,Vitamin K-rich foods,,,Consult healthcare provider before taking supplements,,,,"Eat a balanced diet, exercise caution to prevent injury"
I have a burning sensation when urinating,0.231768121,Urinary tract infection,Sexually transmitted infection,Prostatitis,,Moderate - Seek care if persistent or accompanied by fever,"Adults, more common in women","Increase fluid intake, urinate frequently",Avoid alcohol and caffeine,Cranberry juice,Probiotics,,,Antibiotics (if bacterial),Over-the-counter pain relievers,,,"Practice good hygiene, urinate after sexual activity"
I have chest pain and shortness of breath,0.229727653,Viral myocarditis,Pneumonia,Anxiety attack,,High - Seek immediate medical attention,All ages,"Rest, practice deep breathing",Do not drive yourself to hospital,Oxygen therapy,Cardiac monitoring,,,As prescribed by healthcare provider,,,,"Quit smoking, manage stress, regular check-ups"
I have excessive thirst and frequent urination,0.227687185,Diabetes,Urinary tract infection,Hormonal imbalance,,Moderate - Seek care if persistent,Adults,"Stay hydrated, monitor blood sugar if diabetic",Watch for signs of dehydration,Balanced diet,Regular exercise,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Limit sugar and alcohol intake, maintain healthy weight"
I have a persistent dry cough,0.225646717,Viral bronchitis,Asthma,Gastroesophageal reflux disease,,Low - Seek care if persists over 3 weeks,All ages,"Stay hydrated, use a humidifier",Avoid irritants like smoke,Honey,Steam inhalation,,,Cough suppressants,Expectorants,,,"Quit smoking, elevate head while sleeping"
I have swelling and pain in my legs,0.223606249,Deep vein thrombosis,Cellulitis,Lymphedema,,Moderate - Seek care if severe or accompanied by redness/warmth,Adults and older adults,"Elevate legs, apply cold compress",Avoid prolonged standing or sitting,Compression stockings,Gentle exercises,,,Over-the-counter pain relievers,Prescribed antibiotics if infection,,,"Maintain healthy weight, regular exercise"
I have difficulty concentrating and memory issues,0.221565782,Stress,Depression,Thyroid disorder,,Low - Seek care if affecting daily life,Adults,"Get adequate sleep, practice mindfulness",Avoid overexertion,Cognitive exercises,Stress reduction techniques,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Regular exercise, balanced diet, social engagement"
I have a persistent headache and neck stiffness,0.219525314,Tension headache,Migraine,Meningitis,,High - Seek immediate care if accompanied by fever or confusion,All ages,"Rest in a quiet, dark room",Monitor for worsening symptoms,Cold or warm compresses,Gentle neck stretches,,,Over-the-counter pain relievers,,,,"Improve posture, manage stress, regular exercise"
I have unexplained weight loss,0.217484846,Hyperthyroidism,Depression,Diabetes,,Moderate - Seek care if significant or rapid weight loss,Adults,"Monitor food intake, stay hydrated",Watch for other symptoms like fatigue or increased thirst,"Balanced, nutrient-rich diet",Regular meals,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Regular exercise, stress management, adequate sleep"
I'm feeling tired all the time,0.215444378,Anemia,Sleep apnea,Chronic fatigue syndrome,,Low - Seek care if persistent or affecting daily life,All ages,"Improve sleep hygiene, balanced diet",Monitor for other symptoms,Regular exercise,Stress reduction techniques,,,Consult healthcare provider for proper diagnosis,,,,"Establish regular sleep schedule, limit caffeine"
I have frequent heartburn,0.21340391,Gastroesophageal reflux disease (GERD),Hiatal hernia,Peptic ulcer,,Low - Seek care if persistent or severe,Adults,"Avoid trigger foods, eat smaller meals",Don't lie down immediately after eating,Elevate head of bed,Chew gum after meals,,,Antacids,Proton pump inhibitors,,,"Maintain healthy weight, quit smoking"
I'm having trouble sleeping,0.211363442,Insomnia,Anxiety,Sleep apnea,,Low - Seek care if persistent or affecting daily life,All ages,"Establish bedtime routine, create sleep-friendly environment",Avoid screens before bed,Relaxation techniques,White noise machine,,,Consult healthcare provider for proper diagnosis,,,,"Regular exercise, limit caffeine and alcohol"
I have frequent headaches,0.209322974,Tension headaches,Migraines,Dehydration,,Low - Seek care if severe or persistent,All ages,"Rest in quiet, dark room, stay hydrated",Monitor frequency and intensity,Cold or warm compresses,Neck stretches,,,Over-the-counter pain relievers,,,,"Manage stress, maintain regular sleep schedule"
I'm experiencing hair loss,0.207282507,Male/female pattern baldness,Thyroid disorder,Nutrient deficiency,,Low - Seek care if sudden or patchy hair loss,Adults,"Gentle hair care, balanced diet",Avoid harsh chemical treatments,Scalp massage,Biotin-rich foods,,,Consult healthcare provider for proper diagnosis,,,,"Stress management, quit smoking"
"I have dry, itchy skin",0.205242039,Eczema,Psoriasis,Dehydration,,Low - Seek care if severe or persistent,All ages,"Moisturize regularly, avoid hot showers","Don't scratch, as it can lead to infection",Oatmeal baths,Humidifier use,,,Over-the-counter hydrocortisone cream,Antihistamines,,,"Use gentle, fragrance-free products, stay hydrated"
I'm always feeling bloated,0.203201571,Irritable bowel syndrome,Food intolerance,Constipation,,Low - Seek care if persistent or painful,All ages,"Identify trigger foods, eat slowly",Monitor bowel movements,Probiotics,Peppermint tea,,,Over-the-counter gas relief medications,,,,"Increase fiber intake, regular exercise"
I have frequent mood swings,0.201161103,Hormonal imbalance,Bipolar disorder,Stress,,Moderate - Seek care if affecting daily life or relationships,"All ages, common in adolescents and adults","Practice stress-reduction techniques, maintain regular sleep schedule",Monitor for signs of depression or mania,Cognitive behavioral therapy,Mindfulness practices,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Regular exercise, balanced diet, limit alcohol and caffeine"
I'm experiencing frequent nosebleeds,0.199120635,Dry air,High blood pressure,Blood thinning medications,,Low - Seek care if frequent or difficult to stop,All ages,"Pinch nose, lean forward, breathe through mouth","Avoid nose picking, use saline nasal spray",Humidifier use,Apply petroleum jelly inside nostrils,,,Consult healthcare provider if on blood thinners,,,,"Stay hydrated, avoid tobacco smoke"
I have persistent bad breath,0.197080167,Poor oral hygiene,Gum disease,Dry mouth,,Low - Seek dental care if persistent,All ages,"Brush teeth and tongue regularly, floss daily","Stay hydrated, avoid tobacco",Sugar-free gum,Mouth rinses,,,Consult dentist for proper diagnosis and treatment,,,,"Regular dental check-ups, quit smoking"
I'm experiencing joint pain,0.195039699,Osteoarthritis,Rheumatoid arthritis,Gout,,Low - Seek care if severe or affecting daily activities,Adults and older adults,"Rest affected joints, apply ice or heat",Avoid overexertion,Gentle exercises,Joint support braces,,,Over-the-counter pain relievers,Topical analgesics,,,"Maintain healthy weight, low-impact exercise"
I have frequent leg cramps,0.192999232,Dehydration,Electrolyte imbalance,Poor circulation,,Low - Seek care if severe or persistent,Adults and older adults,"Stretch affected muscles, massage the area","Stay hydrated, especially during exercise",Warm bath before bed,Calf stretches,,,Over-the-counter pain relievers,,,,"Regular exercise, balanced diet rich in potassium and magnesium"
I'm experiencing frequent urination,0.190958764,Urinary tract infection,Diabetes,Overactive bladder,,Moderate - Seek care if accompanied by pain or fever,All ages,"Stay hydrated, avoid bladder irritants like caffeine",Monitor for other symptoms like burning sensation,Kegel exercises,Bladder training,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Limit fluid intake before bedtime, maintain healthy weight"
I have persistent back pain,0.188918296,Muscle strain,Herniated disc,Sciatica,,Low - Seek care if severe or affecting daily activities,Adults,"Apply ice or heat, gentle stretches","Avoid heavy lifting, maintain good posture",Physical therapy,Yoga or Pilates,,,Over-the-counter pain relievers,Muscle relaxants,,,"Ergonomic workspace, regular exercise, maintain healthy weight"
I'm experiencing frequent dizziness,0.186877828,Inner ear problems,Low blood pressure,Anemia,,Moderate - Seek care if persistent or affecting daily activities,All ages,"Sit or lie down, avoid sudden movements",Use assistance when walking if necessary,Vestibular rehabilitation,Balance exercises,,,Consult healthcare provider for proper diagnosis and treatment,,,,"Stay hydrated, avoid alcohol, get regular exercise"
"I'm feeling sick, what should I do?",0.18483736,Common cold,Flu,Food poisoning,,Low - Monitor symptoms,All ages,"Rest, stay hydrated, monitor temperature",Avoid close contact with others,Over-the-counter cold/flu medications,Chicken soup,,,Acetaminophen for fever,Decongestants if needed,,,"Get plenty of sleep, eat light, easily digestible foods"
"I've had a bad headache since morning, what can I do?",0.182796892,Tension headache,Migraine,Sinus headache,,Low - Unless severe or with other symptoms,Adults,"Rest in a dark, quiet room, apply cold compress",Monitor for worsening symptoms,Relaxation techniques,Gentle massage,,,Over-the-counter pain relievers,,,,"Identify and avoid triggers, manage stress"
"I'm feeling low from this morning, what should I do?",0.180756424,Mild depression,Stress,Sleep deprivation,,Low - Unless having thoughts of self-harm,All ages,"Reach out to a friend or family member, practice self-care",Monitor mood changes,Mindfulness exercises,Light exercise,,,Consult healthcare provider if persistent,,,,"Establish regular sleep schedule, increase social interactions"
"I'm having stomach aches since eating lunch, what should I do?",0.178715957,Indigestion,Food poisoning,Gastritis,,Low - Unless severe pain or bloody stools,All ages,"Rest, avoid heavy foods, stay hydrated",Monitor for fever or worsening pain,Peppermint tea,Gentle abdominal massage,,,Over-the-counter antacids,,,,"Eat smaller, more frequent meals, identify trigger foods"
